disease,method,rejection_rate,fn_rejection_pct,tn_rejection_pct,fp_rejection_pct,tp_rejection_pct
AD,margin,0.45,73.80952380952381,27.102803738317753,86.48648648648648,38.28125
AD,margin,0.5,80.95238095238095,31.775700934579437,89.1891891891892,43.75
AD,margin,0.55,85.71428571428571,38.31775700934579,89.1891891891892,48.437500000000014
AD,margin,0.6,85.71428571428571,44.85981308411215,89.1891891891892,55.46875
AD,margin,0.65,85.71428571428571,50.46728971962617,91.8918918918919,62.5
AD,margin,0.7,85.71428571428571,56.074766355140184,94.5945945945946,68.75
AD,margin,0.75,90.47619047619048,61.6822429906542,97.2972972972973,74.21875
AD,margin,0.8,95.23809523809523,66.35514018691589,100.0,80.46875
AD,h_tau,0.0,0.0,0.0,0.0,0.0
AD,h_tau,0.05,16.666666666666682,2.803738317757009,2.7027027027027217,3.124999999999989
AD,h_tau,0.1,23.809523809523807,6.542056074766342,16.216216216216235,6.249999999999989
AD,h_tau,0.15,28.57142857142855,11.214953271028037,24.324324324324326,10.93750000000001
AD,h_tau,0.2,45.238095238095255,14.953271028037381,32.432432432432414,11.71874999999999
AD,h_tau,0.25,47.61904761904763,21.49532710280374,37.83783783783783,16.40625
AD,h_tau,0.3,59.52380952380951,24.299065420560748,48.64864864864867,19.53125000000001
AD,h_tau,0.35,66.66666666666669,25.233644859813097,67.56756756756756,22.65625
AD,h_tau,0.4,73.80952380952381,27.102803738317743,70.27027027027029,30.46875
AD,h_tau,0.45,78.57142857142857,31.775700934579437,81.08108108108108,34.375
AD,h_tau,0.5,85.71428571428571,38.31775700934579,86.48648648648648,37.5
AD,h_tau,0.55,85.71428571428571,44.85981308411215,89.1891891891892,42.96875
AD,h_tau,0.6,85.71428571428571,50.46728971962617,89.1891891891892,50.78125
AD,h_tau,0.65,85.71428571428571,58.87850467289719,91.8918918918919,55.46875
AD,h_tau,0.7,92.85714285714286,63.55140186915887,91.8918918918919,60.9375
AD,h_tau,0.75,95.23809523809523,71.02803738317756,91.8918918918919,66.40625
AD,h_tau,0.8,97.61904761904762,78.50467289719626,94.5945945945946,71.09375
AD,h_tau_ccr,0.0,0.0,0.0,0.0,0.0
AD,h_tau_ccr,0.05,9.523809523809524,2.8037383177569963,8.108108108108109,3.90625
AD,h_tau_ccr,0.1,21.428571428571427,4.672897196261682,16.216216216216196,7.8125
AD,h_tau_ccr,0.15,28.57142857142855,9.345794392523365,27.027027027027017,10.93750000000001
AD,h_tau_ccr,0.2,35.7142857142857,13.084112149532709,32.432432432432435,16.40625
AD,h_tau_ccr,0.25,47.61904761904761,15.887850467289718,48.64864864864867,17.96875
AD,h_tau_ccr,0.3,50.0,21.495327102803753,56.756756756756744,21.875
AD,h_tau_ccr,0.35,59.523809523809526,25.233644859813097,67.56756756756756,25.0
AD,h_tau_ccr,0.4,73.8095238095238,26.168224299065418,70.27027027027027,31.24999999999999
AD,h_tau_ccr,0.45,78.57142857142857,31.775700934579437,81.08108108108108,34.375
AD,h_tau_ccr,0.5,83.33333333333334,36.448598130841134,86.48648648648648,39.0625
AD,h_tau_ccr,0.55,85.71428571428571,42.05607476635514,89.1891891891892,44.53125
